Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Object Kingdom,Object Phylum,Object Class,Object Order,Object Family,Object Genus,Object Species
C: done 12/28,"T:done. There are two study sites at Palcazu Valley, only separated by 10kms. Coordinates were given for both, but to not separate interactions, set of coordinates here are for Iscozacin. Iscozacin has an elevation of 375 mt and Shiringamazu an elev. of 1086 mt, and that's the range given here. ",,Done,,Primary  ,18,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1989",South America,"Palcazú Valley, Pasco",Peru,Forest,-10.1833333,-75.16666667,375,1086,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Plantae,,,,Piperaceae,Piper,
C: done 12/28,"T:done. This study reports on bat species captured during another study, Gorchov et al. 1993, so location data is taken from the latest.",,Done,,Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plantae,,,,Hypericaceae,Vismia,Vismia angusta
C: done 12/28,"T:done. This study reports on bat species captured during another study, Gorchov et al. 1993, so location data is taken from the latest.",,Done,,Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Plantae,,,,Hypericaceae,Vismia,Vismia angusta
C: done 12/28,"T:done. This study reports on bat species captured during another study, Gorchov et al. 1993, so location data is taken from the latest.",,Done,,Primary  ,17,"Ascorra, C. F., D. L. Gorchov & F. Cornejo. 1993",South America,Centro de Investigaciones Jenaro Herrera,Peru,Forest,-4.9166667,-73.66666667,121,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plantae,,,,Urticaceae,Cecropia,Cecropia distachya
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,19,"August, P. V. ,1981",South America,"Fundo Pecuario Masaguaral, Guárico",Venezuela,Savanna,8.600032,-67.615356,103,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plantae,,,,Moraceae,Ficus,Ficus trigonata
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,Flower,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plantae,,,,Fabaceae,Parkia,Parkia clappertoniana
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Visitation,Flower,Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plantae,,,,Fabaceae,Parkia,Parkia clappertoniana
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,Seed,Chiroptera,Pteropodidae,Nanonycteris,Nanonycteris veldkampii,Plantae,,,,Moraceae,Ficus,Ficus umbellata
Done,"T:done. Name and coordinates are given, elevation was calculated by mapping the site.",,Done,,Primary  ,21,"Baker, H. G. & B. J. Harris. 1957",West Africa,Achimota National Forest,Ghana,Savanna,5.6333333,-0.2166666667,66,,Seed Dispersal,Seed,Chiroptera,Pteropodidae,Epomophorus,Epomophorus gambianus,Plantae,,,,Moraceae,Ficus,Ficus umbellata
C: done 12/28,T:done. Name of site was given. Other location data was found at https://www.bgci.org/worldwide/article/0125/ and mapping coordinates were calculated according to it.,,Done,,Primary  ,24,"Baker, H. G. 1970",Central America,Botanical Garden in Lancetilla,Honduras,Forest,15.740049,-87.455635,20,800,Visitation,Flower,Chiroptera,Phyllostomidae,,,Plantae,,,,Malvaceae,Durio,Durio zibethinus
